period_start_date	period_end_date	station_id	station_name	total_usage_count	total_distance_m	total_duration_min
2026-06-27	2026-06-28	05515	5515.한강버스 망원 선착장	1183	6861424.529999998	49738
2026-06-27	2026-06-28	05891	5891.한강버스 여의도 선착장	1021	6039428.499999999	45513
2026-06-27	2026-06-28	05153	5153.한강버스 뚝섬 선착장	934	4694067.210000001	37830
2026-06-27	2026-06-28	02715	2715.마곡나루역 2번 출구 	818	1487545.2799999998	12292
2026-06-27	2026-06-28	01210	1210. 롯데월드타워(잠실역2번출구 쪽)	726	1781914.6499999997	17141
2026-06-27	2026-06-28	05651	5651.한강버스 옥수 선착장	716	5216936.209999998	31969
2026-06-27	2026-06-28	05784	5784.한강버스 잠실 선착장	704	3625625.1699999985	27369
2026-06-27	2026-06-28	04940	4940.한강버스 압구정 선착장	661	4525553.989999997	31962
2026-06-27	2026-06-28	01153	1153. 발산역 1번, 9번 인근 대여소	563	920191.3400000001	7782
2026-06-27	2026-06-28	02622	2622. 올림픽공원역 3번출구	537	1504483.9900000007	14352
2026-06-27	2026-06-28	00247	247. 당산역 10번출구 앞	523	1177087.2100000002	11585
2026-06-27	2026-06-28	00769	769.CBS방송국 앞	519	1052097.5999999999	11012
2026-06-27	2026-06-28	00583	583. 청계천 생태교실 앞	517	2980564.72	19181
2026-06-27	2026-06-28	02728	2728.마곡나루역 3번 출구	517	985397.0300000003	7937
2026-06-27	2026-06-28	04870	4870. 몽촌토성역 3번 출구	504	1303251.0799999994	12336
2026-06-27	2026-06-28	04565	4565. 영등포 신세계백화점	489	1062604.31	10422
2026-06-27	2026-06-28	02608	2608. 송파구청	478	1202134.56	10784
2026-06-27	2026-06-28	02102	2102. 봉림교 교통섬	472	2013725.26	14142
2026-06-27	2026-06-28	00272	272. 당산육갑문	469	2690774.12	18384
2026-06-27	2026-06-28	05768	5768.방이삼거리	464	1219682.7999999998	11263
2026-06-27	2026-06-28	03533	3533. 건대입구역 사거리(롯데백화점)	463	1275765.3100000003	10918
2026-06-27	2026-06-28	00502	502. 자양(뚝섬한강공원)역 1번출구 앞	454	1487749.1	13792
2026-06-27	2026-06-28	02620	2620. 송파나루역 4번 출구옆	443	1135836.1400000004	11167
2026-06-27	2026-06-28	00792	792.목동트라팰리스 웨스턴에비뉴	439	830613.7899999998	8793
2026-06-27	2026-06-28	01124	1124. 발산역 6번 출구 뒤	435	613099.8999999997	5854
2026-06-27	2026-06-28	04217	4217. 한강공원 망원나들목	418	2205659.649999999	17476
2026-06-27	2026-06-28	03939	3939.신도림역 3번출구	412	1013004.2600000004	8729
2026-06-27	2026-06-28	00785	785.양천구청, 보건소 사잇길	410	622979.7899999999	7043
2026-06-27	2026-06-28	00765	765. 오목교역 3번출구	397	948504.0900000002	8327
2026-06-27	2026-06-28	02701	2701. 마곡나루역 5번출구 뒤편	397	574217.29	5044
2026-06-27	2026-06-28	03798	3798. 그랜드아이파크아파트 앞	394	860135.51	7008
2026-06-27	2026-06-28	01222	1222. 잠실새내역 5번 출구 뒤	380	1007164.2299999997	9093
2026-06-27	2026-06-28	00230	230. 영등포구청역 7번출구	369	654536.0200000001	7908
2026-06-27	2026-06-28	00746	746. 목동2단지 상가	367	830534.4099999999	6669
2026-06-27	2026-06-28	00585	585. 성수2가1동 공영주차장 인근	360	1197469.0600000003	10878
2026-06-27	2026-06-28	01078	1078.둔촌사거리	351	740742.0200000004	7209
2026-06-27	2026-06-28	05082	5082. 가양역 7번출구	346	559936.2600000001	4813
2026-06-27	2026-06-28	03511	3511. 응봉역 1번출구	341	2062818.7099999997	14017
2026-06-27	2026-06-28	01166	1166. 강서구립등빛도서관	339	609945.46	5769
2026-06-27	2026-06-28	01050	1050.  둔촌역 3번 출입구	338	657774.9099999998	6645
2026-06-27	2026-06-28	02525	2525.반포쇼핑타운 2동 앞	335	1942392.2999999996	17440
2026-06-27	2026-06-28	01009	1009. 천호역4번출구(현대백화점)	334	900754.2500000003	8498
2026-06-27	2026-06-28	04543	4543. 오목교역 6번 출구	334	714225.0399999999	7100
2026-06-27	2026-06-28	01911	1911. 구로디지털단지역 앞	331	1298874.7599999998	9246
2026-06-27	2026-06-28	02733	2733.마곡13단지 정문 앞	329	422256.0900000002	4323
2026-06-27	2026-06-28	00797	797.목동아파트 1422동 1434동 사잇길	328	568162.8300000002	6324
2026-06-27	2026-06-28	01637	1637. KT 전화국 버스정류장 옆	326	687008.28	6572
2026-06-27	2026-06-28	03534	3534. 건대입구역 5번출구 뒤	326	944940.3900000004	8687
2026-06-27	2026-06-28	05858	5858. 영등포역5번출구	325	758430.7599999999	6614
2026-06-27	2026-06-28	02219	2219. 고속터미널역 8-1번, 8-2번 출구 사이	321	1514901.5699999998	13300
2026-06-27	2026-06-28	00113	113. 홍대입구역 2번출구 앞	316	742308.7200000002	7813
2026-06-27	2026-06-28	04531	4531. 목동아파트 613동 앞	313	765725.2000000001	9213
2026-06-27	2026-06-28	01625	1625. 상계역 3번출구	311	850439.22	7335
2026-06-27	2026-06-28	03681	3681. 길동 마루빌딩	310	619977.8400000001	6089
2026-06-27	2026-06-28	00853	853.용산역 맞은편	309	1104587.4500000002	8480
2026-06-27	2026-06-28	01160	1160. 양천향교역 7번출구앞	309	520240.2100000001	3990
2026-06-27	2026-06-28	02739	2739.수명산파크1단지교차로	306	490275.73	4485
2026-06-27	2026-06-28	04515	4515. 동문굿모닝탑	306	537243.82	5598
2026-06-27	2026-06-28	05781	5781. 올림픽공원 수영장	305	764649.0700000002	7742
2026-06-27	2026-06-28	00708	708. 서울출입국관리사무소 앞	303	423212.2500000001	4748
2026-06-27	2026-06-28	00726	726. 목동3단지 시내버스정류장	303	573009.4100000001	7314
2026-06-27	2026-06-28	02217	2217.아크로리버뷰 부지 앞	302	1731200.4899999998	13615
2026-06-27	2026-06-28	04137	4137. 답십리역 4번출구	302	665339.7999999998	5631
2026-06-27	2026-06-28	01044	1044. 굽은다리역	301	739904.6800000002	7179
2026-06-27	2026-06-28	00794	794.양천문화회관	297	552246.97	5510
2026-06-27	2026-06-28	05061	5061. 우장산동 가곡어린이공원앞	297	514839.3099999999	5124
2026-06-27	2026-06-28	00779	779. 신정1동 주민센터 앞	295	689195.4600000001	6756
2026-06-27	2026-06-28	00780	780.신정교 하부	295	1758188.7	11371
2026-06-27	2026-06-28	00209	209. 유진투자증권빌딩 앞	294	1094507.52	9403
2026-06-27	2026-06-28	00781	781.신정보도육교 아래	294	561993.62	6007
2026-06-27	2026-06-28	04574	4574. 영등포시장역 포레나영등포	293	467491.69	5531
2026-06-27	2026-06-28	01029	1029. 성내어울터	292	543951.8500000003	5157
2026-06-27	2026-06-28	03780	3780. 등촌서광아파트	292	627535.7999999997	5894
2026-06-27	2026-06-28	00996	996.응암역2번출구 국민은행 앞	290	964654.79	7621
2026-06-27	2026-06-28	01190	1190. 마곡역 교차로(2번출구)	288	430016.54000000015	4464
2026-06-27	2026-06-28	03668	3668. 성내삼성아파트	288	526532.82	6363
2026-06-27	2026-06-28	04897	4897. 잠실주공5단지1	286	618139.26	6306
2026-06-27	2026-06-28	05052	5052. 마곡역 7번출구	286	371221.17000000004	3759
2026-06-27	2026-06-28	01151	1151. 마곡역1번출구	285	330931.2	3367
2026-06-27	2026-06-28	01297	1297. 석촌호수교차로(동호 팔각정 앞)	284	668410.2499999999	6574
2026-06-27	2026-06-28	02002	2002. 노들역 1번출구	284	1673844.38	11462
2026-06-27	2026-06-28	01112	1112. 마곡엠밸리4단지 정문	283	394044.6199999999	3778
2026-06-27	2026-06-28	01906	1906. 신도림역 1번 출구 앞	282	836487.8400000001	6653
2026-06-27	2026-06-28	00228	228. 선유도역 3번출구 앞	281	956061.3	8076
2026-06-27	2026-06-28	01925	1925. 동양미래대학교 정문 옆	277	1057476.51	7223
2026-06-27	2026-06-28	03518	3518. 군자역 7번출구뒤	275	620462.2899999999	5465
2026-06-27	2026-06-28	04514	4514. 목동성당 앞	275	535443.6900000001	6214
2026-06-27	2026-06-28	01158	1158. 가양역 8번출구	274	557541.02	5001
2026-06-27	2026-06-28	04571	4571. 문래동롯데캐슬아파트	274	517071.8299999998	4738
2026-06-27	2026-06-28	02646	2646.레이크펠리스101동앞	273	623397.7199999997	5976
2026-06-27	2026-06-28	03575	3575. 자양사거리(서원빌딩)	273	535673.0699999998	4819
2026-06-27	2026-06-28	02136	2136. 신림역 8번출구	270	611314.8200000001	5698
2026-06-27	2026-06-28	03789	3789. 염창나들목	268	1345883.6300000001	9671
2026-06-27	2026-06-28	02721	2721.등촌1-10단지 교차로	266	363109.31	3100
2026-06-27	2026-06-28	02176	2176. 보라매공원 보도육교	265	1478232.5600000003	10030
2026-06-27	2026-06-28	03219	3219.영등포역 1번출구	265	440618.68	3830
2026-06-27	2026-06-28	00747	747. 목동3단지 상가	264	410596.1699999999	4785
2026-06-27	2026-06-28	01184	1184. 마곡13단지	264	449676.41000000015	4088
2026-06-27	2026-06-28	05883	5883. 영문초사거리	264	417665.05000000005	5160
2026-06-27	2026-06-28	01019	1019. 다성이즈빌아파트(호원대 대각선 맞은편)	263	467115.60999999987	5242
2026-06-27	2026-06-28	00787	787.양천아파트 입구	262	558844.23	4601
2026-06-27	2026-06-28	04535	4535. 목동12단지 아파트	262	565177.8799999998	6115
2026-06-27	2026-06-28	00755	755. 목동1단지아파트 상가 앞	261	528159.3499999999	5647
2026-06-27	2026-06-28	00744	744. 신목동역 2번 출구	260	823483.1799999997	6728
2026-06-27	2026-06-28	01011	1011. LIGA 아파트 앞	260	568182.5199999998	6200
2026-06-27	2026-06-28	01167	1167. 마곡수명산파크3단지 교차로	260	330293.7499999998	3233
2026-06-27	2026-06-28	04508	4508. 유원목동아파트 103동 앞	260	431211.70000000007	4320
2026-06-27	2026-06-28	00103	103. 망원역 2번출구 앞	259	893468.85	8907
2026-06-27	2026-06-28	00770	770.목동역5번출구	259	427067.73000000004	4402
2026-06-27	2026-06-28	01650	1650. 중계근린공원내	259	614611.0399999998	6028
2026-06-27	2026-06-28	00907	907. CJ 드림시티	257	980395.2099999998	6821
2026-06-27	2026-06-28	01295	1295. 잠실역 8번출구	256	640981.0799999998	6124
2026-06-27	2026-06-28	05095	5095. 원당근린공원	256	478079.53	4489
2026-06-27	2026-06-28	01149	1149. 신방화역환승주차장	255	368237.95	3562
2026-06-27	2026-06-28	01173	1173. 강서구청사거리(SH타워)	255	448180.50999999995	3707
2026-06-27	2026-06-28	00236	236. 문래동자이아파트 앞	254	650560.17	6035
2026-06-27	2026-06-28	00419	419. 홈플러스 마포점 앞	253	815654.6600000003	7051
2026-06-27	2026-06-28	00793	793.목동5단지아파트 534동	253	548130.6900000002	6344
2026-06-27	2026-06-28	01264	1264. 천호역 10번 출구 앞	253	673383.2800000001	5646
2026-06-27	2026-06-28	01601	1601. 석계역 문화광장 내 자전거 보관소	252	649900.72	4968
2026-06-27	2026-06-28	01653	1653. 노원역1번출구	252	444078.61	5061
2026-06-27	2026-06-28	03881	3881. 신자초교입구 교차로	252	540105.76	4590
2026-06-27	2026-06-28	04233	4233. 코오롱아파트사거리	252	544172.7499999999	5816
2026-06-27	2026-06-28	04509	4509. 서울영상고교 입구	252	432128.00999999995	4494
2026-06-27	2026-06-28	05866	5866.포레나 당산	252	448283.5900000001	5242
2026-06-27	2026-06-28	04865	4865. 한성백제역 1번출구 뒤	251	650959.4400000001	7307
2026-06-27	2026-06-28	00240	240. 문래역 4번출구 앞	248	341047.74	4140
2026-06-27	2026-06-28	00263	263. 근로자회관 사거리	245	467588.0899999999	4233
2026-06-27	2026-06-28	01113	1113. 서남환경공원 버스정류장	245	534113.0800000001	4023
2026-06-27	2026-06-28	03784	3784. 벽산아파트	244	934092.6199999998	6170
2026-06-27	2026-06-28	05080	5080. 가양역 1번출구	244	403976.42000000004	3953
2026-06-27	2026-06-28	05752	5752. 풍납백제문화공원 옆 인근	244	578396.1999999997	5318
2026-06-27	2026-06-28	00102	102. 망원역 1번출구 앞	243	682108.44	7081
2026-06-27	2026-06-28	00795	795.양천 해누리타운	243	413795.23000000016	4333
2026-06-27	2026-06-28	03202	3202.당산롯데캐슬프레스티지	243	499156.5599999999	4849
2026-06-27	2026-06-28	01278	1278. 송파구청 교차로	242	596914.5399999998	5341
2026-06-27	2026-06-28	02639	2639.석촌역 8번출구	242	483232.57	5051
2026-06-27	2026-06-28	02919	2919.등나무 근린공원(시립북서울미술관 앞) 	242	577455.35	5593
2026-06-27	2026-06-28	00825	825. 서빙고동 주민센터 앞	241	1599214.09	9688
2026-06-27	2026-06-28	02637	2637. 아시아지하보도 14번 출구	240	661948.29	6551
2026-06-27	2026-06-28	04135	4135. 삼성생명 앞	240	619103.5300000003	5845
2026-06-27	2026-06-28	01084	1084. 윤선생빌딩(JYP사옥)	239	570948.0499999999	5510
2026-06-27	2026-06-28	01117	1117. 등촌5단지아파트 버스정류장	239	383929.07000000007	3216
2026-06-27	2026-06-28	01985	1985. 구로도서관	238	560805.3499999999	4900
2026-06-27	2026-06-28	00183	183. 하늘채코오롱아파트 건너편	237	593402.9100000001	5659
2026-06-27	2026-06-28	00268	268. 그랜드컨벤션센터 앞	237	512784.3399999998	5057
2026-06-27	2026-06-28	02621	2621. 한성백제역 2번 출구	237	737081.2999999999	8060
2026-06-27	2026-06-28	04029	4029. 청소년수련관 후문	237	753394.6299999999	7036
2026-06-27	2026-06-28	04108	4108. 답십리파크자이아파트 앞	237	444854.5000000001	4278
2026-06-27	2026-06-28	01152	1152. 마곡역교차로	236	259520.97000000003	2596
2026-06-27	2026-06-28	02632	2632.석촌고분역 2번 출구	236	517486.75999999995	4965
2026-06-27	2026-06-28	03002	3002.벽산상암스마트큐브 	236	786250.2600000002	6873
2026-06-27	2026-06-28	03569	3569.건대병원후문	236	513085.91	4453
2026-06-27	2026-06-28	01209	1209. 잠실나루역 (2번 출구 쪽)	234	463919.0399999997	5000
2026-06-27	2026-06-28	04037	4037. 물넘이교	234	637971.9299999999	5021
2026-06-27	2026-06-28	01218	1218. 방이역 4번출구	233	626924.4800000001	5555
2026-06-27	2026-06-28	04540	4540. 목동역 3번 출구	233	466268.95999999985	3885
2026-06-27	2026-06-28	00186	186. 월드컵공원	232	808359.0100000001	11658
2026-06-27	2026-06-28	00529	529. 장한평역 8번 출구 앞	232	563560.35	4563
2026-06-27	2026-06-28	00731	731. 서울시 도로환경관리센터	231	628266.0700000002	5254
2026-06-27	2026-06-28	00754	754. 목동1단지아파트 118동 앞	231	500061.98000000016	5374
2026-06-27	2026-06-28	01235	1235. 잠실트리지움310동 옆	231	645936.4299999998	5534
2026-06-27	2026-06-28	01684	1684. 태릉입구역 5번출구	231	550390.9499999997	5170
2026-06-27	2026-06-28	01232	1232. 잠실주공 521동 건너편	230	386508.36000000004	4283
2026-06-27	2026-06-28	05333	5333. 노원역9번-10번 출구 앞	230	443503.62000000005	3958
2026-06-27	2026-06-28	05882	5882. 휴젠느	230	413819.1399999999	3747
2026-06-27	2026-06-28	00117	117. 홍은사거리	229	1268568.9899999998	8976
2026-06-27	2026-06-28	00154	154. 마포구청역 	229	750166.1199999998	7116
2026-06-27	2026-06-28	03010	3010.홍대입구역 3번출구	228	568854.88	5241
2026-06-27	2026-06-28	00207	207. 여의나루역 1번출구 앞	227	1052314.45	8290
2026-06-27	2026-06-28	02824	2824.미래사랑어린이공원 앞	227	675699.6000000001	5831
2026-06-27	2026-06-28	00147	147. 마포역 4번출구 뒤	226	1246205.5299999996	8094
2026-06-27	2026-06-28	00278	278. 쌍용플레티넘오피스텔	226	789029.0700000003	5909
2026-06-27	2026-06-28	00280	280. 양평동6차현대아파트 앞	226	384311.93	3471
2026-06-27	2026-06-28	00703	703. 오목교역 7번출구 앞	226	455151.9499999999	3993
2026-06-27	2026-06-28	05887	5887.나루마을 마당공원	225	493410.0899999999	4730
2026-06-27	2026-06-28	00431	431. 청계천 영도교	224	583386.39	4614
2026-06-27	2026-06-28	00734	734. 신트리공원 입구	224	435314.41999999987	4024
2026-06-27	2026-06-28	01668	1668. 중계역 6번출구	224	578578.0100000001	5031
2026-06-27	2026-06-28	03571	3571.화양 APT(횡단보도 옆)	224	504724.9700000001	5390
2026-06-27	2026-06-28	00791	791.현대하이페리온	223	394737.09000000014	4774
2026-06-27	2026-06-28	00796	796.목동아파트 14단지 B상가 앞	223	522280.3299999999	4950
2026-06-27	2026-06-28	01908	1908. 해원리바파크 육교 밑	222	321627.4699999999	2955
2026-06-27	2026-06-28	03680	3680. 강동역3번출구	222	422771.59	4343
2026-06-27	2026-06-28	02702	2702. 마곡 엠밸리2단지	221	325005.3400000001	3483
2026-06-27	2026-06-28	03764	3764. 관문주유소(GS칼택스) 앞	221	347258.2800000001	2961
2026-06-27	2026-06-28	01020	1020. 강동경찰서	220	409721.77999999985	4949
2026-06-27	2026-06-28	01191	1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)	220	272748.0299999999	2807
2026-06-27	2026-06-28	04561	4561. 양평역 1번출구	220	525892.15	4845
2026-06-27	2026-06-28	04547	4547. 목동역 2번 출구	219	424568.0499999998	4329
2026-06-27	2026-06-28	00275	275. 신동아아파트	218	499357.12000000005	4881
2026-06-27	2026-06-28	03509	3509. 세종사이버대학교	217	428891.14	4395
2026-06-27	2026-06-28	03700	3700. 강변그대가리버뷰 입구 맞은편	217	987623.1199999999	8588
2026-06-27	2026-06-28	03904	3904. 테크노마트 앞	216	634064.8099999999	5240
2026-06-27	2026-06-28	05074	5074. 마곡엠밸리14단지 버스정류장(마곡엠밸리11,12단지상가방면)	216	300570.9699999999	2829
2026-06-27	2026-06-28	00497	497.합정동주민센터 앞	215	783471.72	7158
2026-06-27	2026-06-28	01293	1293. 석촌호수 서호 사거리	215	444092.4499999999	4347
2026-06-27	2026-06-28	00670	670.삼육서울병원 버스정류장	214	694190.8500000003	5409
2026-06-27	2026-06-28	00768	768.목동5단지아파트 501동	214	528128.73	4916
2026-06-27	2026-06-28	03542	3542. 래미안 구의파크 스위트	214	394875.15999999986	4060
2026-06-27	2026-06-28	00184	184.망원우체국사거리 인근	212	548720.2800000001	6120
2026-06-27	2026-06-28	00296	296.KT플라자 영등포점	212	347829.4800000001	3757
2026-06-27	2026-06-28	00735	735. 영도초등학교	212	429742.04999999993	3697
2026-06-27	2026-06-28	01012	1012. 천호역효성해링턴타워 앞	212	418475.65	4191
2026-06-27	2026-06-28	01024	1024.  강동구청 앞	211	433499.7500000002	5036
2026-06-27	2026-06-28	01226	1226. 잠실4동 주민센터 옆	211	509990.53	5022
2026-06-27	2026-06-28	01231	1231. 잠실역 6번출구	211	576967.83	4772
2026-06-27	2026-06-28	02635	2635.잠실새내역 1번출구	211	505647.7200000001	4767
2026-06-27	2026-06-28	04213	4213. 마포구중앙도서관 정문 앞	211	452390.64000000013	5067
2026-06-27	2026-06-28	01103	1103. 방화역 4번출구앞	210	565358.8299999997	4546
2026-06-27	2026-06-28	01106	1106. 신방화사거리	209	386423.1399999999	3052
2026-06-27	2026-06-28	03600	3600.사근빗물펌프장 건너편	206	1013746.9300000005	7458
2026-06-27	2026-06-28	01008	1008. 암사역 3번출구(국민은행앞)	205	598651.4500000001	5999
2026-06-27	2026-06-28	01569	1569.수유역2번출구	205	486767.0899999999	4549
2026-06-27	2026-06-28	01617	1617. 하계동 중평어린이공원 앞	205	662001.82	5225
2026-06-27	2026-06-28	01656	1656. 중앙하이츠 아파트 입구	205	385921.05999999994	4066
2026-06-27	2026-06-28	02628	2628.문정역 1번출구	204	411932.3200000001	4164
2026-06-27	2026-06-28	02623	2623.석촌동 주민센터	203	407992.56999999983	3934
2026-06-27	2026-06-28	04481	4481. 올림픽공원 북2문 B	202	578109.9799999997	5251
2026-06-27	2026-06-28	03772	3772. 길성그랑프리텔아파트	201	302371.48000000004	3430
2026-06-27	2026-06-28	00574	574. 아차산역4번출구	200	597104.0599999998	4712
2026-06-27	2026-06-28	02377	2377. 수서역 5번출구	200	721230.37	4931
2026-06-27	2026-06-28	00576	576. 광나루역 3번 출구	199	551756.3400000001	4408
2026-06-27	2026-06-28	01157	1157. 강서구청	199	467466.26	3723
2026-06-27	2026-06-28	02601	2601. 석촌호수 아뜰리에	199	391957.01	4174
2026-06-27	2026-06-28	03536	3536. 중앙농협(자양동)	199	399777.81	3885
2026-06-27	2026-06-28	03788	3788. 정곡나들목	199	1385019.3199999998	8330
2026-06-27	2026-06-28	00584	584. 광진광장 교통섬	198	410572.14999999997	3418
2026-06-27	2026-06-28	00786	786.목동아파트 8단지 상가동 앞	198	315655.77999999997	3895
2026-06-27	2026-06-28	01662	1662. 노원역7번출구	198	501485.04000000004	4046
2026-06-27	2026-06-28	00361	361. 동묘앞역 1번출구 뒤	197	432497.46999999986	4893
2026-06-27	2026-06-28	01076	1076. 천동초교입구사거리 버스정류장(십자성마을 방면)	197	381435.5100000001	4513
2026-06-27	2026-06-28	01251	1251. 석촌역 2번출구	197	360117.7800000001	4048
2026-06-27	2026-06-28	01674	1674. 서울북부고용센터앞	197	538611.1000000002	4734
2026-06-27	2026-06-28	04179	4179. 보라매병원역 1번출구	197	717418.2200000001	6823
2026-06-27	2026-06-28	04553	4553. 당산삼성2차아파트	197	395887.7199999999	4255
2026-06-27	2026-06-28	04332	4332. 이수교차로	196	824242.8599999998	7290
2026-06-27	2026-06-28	04457	4457. 아산병원 기숙사 부근	196	481024.25999999995	3592
2026-06-27	2026-06-28	05865	5865.더리브오피스텔 앞	196	537752.7100000001	4936
2026-06-27	2026-06-28	00106	106. 합정역 7번출구 앞	195	911204.0600000003	7987
2026-06-27	2026-06-28	01010	1010. 강동세무서	195	506728.0500000002	4605
2026-06-27	2026-06-28	02613	2613. 잠실나들목	195	822508.6399999999	6829
2026-06-27	2026-06-28	02723	2723.마곡 필네이처	195	333883.7399999999	3168
2026-06-27	2026-06-28	03657	3657. 서울천호동우체국	195	539677.05	4972
2026-06-27	2026-06-28	04864	4864. 송파사거리	195	493540.2000000001	4828
2026-06-27	2026-06-28	01150	1150. 송정역 1번출구	194	381617.3800000002	3759
2026-06-27	2026-06-28	03504	3504. 원일교회	194	397597.46000000014	4023
2026-06-27	2026-06-28	04496	4496. 잠실 파크리오 120동 앞	194	497030.6499999999	5885
2026-06-27	2026-06-28	05155	5155.광진경찰서 앞	194	357763.35000000003	3550
2026-06-27	2026-06-28	00362	362. 청계8가사거리 A	193	465015.62	6635
2026-06-27	2026-06-28	00508	508. 성수아카데미타워 앞	193	469227.29999999993	4318
2026-06-27	2026-06-28	01001	1001. 광진교 남단 사거리(천호공원 방면)	193	604659.2100000001	5479
2026-06-27	2026-06-28	03664	3664. 맥도날드 서울둔촌DT점 앞	193	428142.6599999999	3732
2026-06-27	2026-06-28	03794	3794. 안양천합수부(현대3차아파트)	193	1190331.9100000001	7465
2026-06-27	2026-06-28	04096	4096.창동역2번출구 하나은행365 앞	193	263609.83	3118
2026-06-27	2026-06-28	01447	1447. 면목역 3번출구	192	420660.1899999999	3818
2026-06-27	2026-06-28	02611	2611. 송파지역자활센터 뒤	192	346909.24	3423
2026-06-27	2026-06-28	05868	5868. 로프트시티오피스텔	192	477060.60999999987	4121
2026-06-27	2026-06-28	05070	5070. 마곡13단지힐스테이트마스터 후문(1320동 앞)	191	250663.6899999999	2128
2026-06-27	2026-06-28	05870	5870. LG트윈타워 앞	191	950911.1099999999	7446
2026-06-27	2026-06-28	00543	543. 구의공원(테크노마트 앞)	190	581808.9700000004	4762
2026-06-27	2026-06-28	00568	568. 청계8가 사거리 B	190	560739.78	4706
2026-06-27	2026-06-28	01452	1452. 겸재교 진입부	190	783949.9799999997	5801
2026-06-27	2026-06-28	00202	202. 국민일보 앞	189	933170.09	7472
2026-06-27	2026-06-28	00243	243. 이앤씨드림타워 앞	189	374917.12999999995	3563
2026-06-27	2026-06-28	03868	3868. 자양한강도서관	189	347467.96000000014	4299
2026-06-27	2026-06-28	00232	232. 양평우림 이비즈센타 앞	188	445647.8699999999	5268
2026-06-27	2026-06-28	01018	1018. 한국전력공사 강동송파지점 옆	187	358513.69000000006	3069
2026-06-27	2026-06-28	01192	1192. 마곡수명산파크 209동 건너편	187	204599.21	1988
2026-06-27	2026-06-28	04868	4868. 석촌호수 서호 남단	186	343448.04999999993	3516
2026-06-27	2026-06-28	00931	931. 역촌파출소	185	581533.67	3616
2026-06-27	2026-06-28	01077	1077.강동역 1번출구 앞	184	370917.92	4466
2026-06-27	2026-06-28	03570	3570.구의역 리버비스타 오피스텔	184	484229.4000000002	4759
2026-06-27	2026-06-28	00631	631. 답십리역 1번출구	183	393916.99	3562
2026-06-27	2026-06-28	01162	1162. 공항초등학교건너편	183	227142.86000000004	2465
2026-06-27	2026-06-28	01244	1244. 문정 법조단지8	183	393495.4799999999	4348
2026-06-27	2026-06-28	01912	1912. 한신휴아파트 앞	183	407759.95000000007	4358
2026-06-27	2026-06-28	02707	2707.한강아파트	183	348345.37000000005	3504
2026-06-27	2026-06-28	02720	2720.힐스테이트에코	183	251770	2564
2026-06-27	2026-06-28	06177	6177. 마곡롯데캐슬르웨스트	183	230037.51000000004	2467
2026-06-27	2026-06-28	00648	648. 장안동위더스빌옆	182	412039.4200000001	4726
2026-06-27	2026-06-28	00905	905. 구파발역 2번출구	182	444649.12	3743
2026-06-27	2026-06-28	02718	2718.마곡수명산파크1단지	182	280129.39	2469
2026-06-27	2026-06-28	05087	5087. 연세강서빌딩	182	437209.19	3574
2026-06-27	2026-06-28	05890	5890.여의나루역 3번출구	182	958035.6300000005	7181
2026-06-27	2026-06-28	01182	1182. KBS 스포츠월드	181	313239.61	2828
2026-06-27	2026-06-28	00283	283. 아크로타워 스퀘어(영등포시장)	180	383640.8799999999	3990
2026-06-27	2026-06-28	00663	663. 외대앞역 3번출구	180	604128.44	4351
2026-06-27	2026-06-28	01248	1248. 방이초등학교	180	504892.32000000007	4719
2026-06-27	2026-06-28	00829	829. 한강대교 북단 교차로	179	771530.9699999999	5456
2026-06-27	2026-06-28	01451	1451. 중랑세무서	179	743052.0499999997	5031
2026-06-27	2026-06-28	01914	1914. 대림역4번출구	179	566108.78	4363
2026-06-27	2026-06-28	02641	2641.송파역 4번출구	179	414706.61	3918
2026-06-27	2026-06-28	00227	227. 양평1나들목 보행통로 입구	178	1115610.9600000002	7777
2026-06-27	2026-06-28	00259	259. 대방역6번출구	178	782877.4200000004	5576
2026-06-27	2026-06-28	00290	290. 새말소공원	178	281519.51	3421
2026-06-27	2026-06-28	00420	420. 서울시 공공자전거 상암센터	178	811442.6799999999	9372
2026-06-27	2026-06-28	01414	1414. 사가정역 2번출구	178	465138.1899999997	3862
2026-06-27	2026-06-28	02109	2109. 은천로입구 가로공원	178	502718.8699999999	4394
2026-06-27	2026-06-28	03936	3936. 힐스테이트 신도림역	178	410454.2100000001	3282
2026-06-27	2026-06-28	00383	383. 신당역 12번 출구 뒤	177	456544.13999999996	4410
2026-06-27	2026-06-28	00565	565. 옥수역 3번출구	177	1284699.7000000002	9177
2026-06-27	2026-06-28	00906	906. 연신내역 5번출구	177	595395.9600000002	4507
2026-06-27	2026-06-28	01118	1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔)	177	433302.31	4494
2026-06-27	2026-06-28	01111	1111. 마곡엠밸리6_7단지 마곡중학교	176	256001.08000000007	2533
2026-06-27	2026-06-28	01611	1611. 과기대 입구(우)	176	472391.2099999999	3750
2026-06-27	2026-06-28	04026	4026. 상계주공1단지아파트	176	293228.2800000001	3072
2026-06-27	2026-06-28	03579	3579.광진 캠퍼스시티	175	422196.3900000001	4030
2026-06-27	2026-06-28	03586	3586.군자역 비채온 오피스텔	175	545100.2899999999	4933
2026-06-27	2026-06-28	00123	123. 문화촌 공원	174	1025302.4900000001	7509
